no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,CNBJ29160,当代国画大师汤文选作品·荷花游鱼,活动,icardyou,--苹果核儿,China,北京,6/20/2021 11:39,6/24/2021 20:13,国画 动物 鱼,https://icardyou.icu/sendpostcard/postcardDetail/1143860,https://icardyou.icu/userInfo/homePage?userId=38858
,RU-8500123,,MATCH,POSTCROSSING,osennyaya,Russia,,22/May/2021,26/Jun/2021,,https://www.postcrossing.com/postcards/RU-8500123,https://www.postcrossing.com/user/osennyaya
,FNAS1232,鲸鱼岛,活动,icardyou,Dolphin,China,台湾,3/27/2021 5:05,6/26/2021 21:35,信的恋人 鲸鱼 动物,https://icardyou.icu/sendpostcard/postcardDetail/1130117,https://icardyou.icu/userInfo/homePage?userId=38829
,CNLN6337,Vintage letten,活动,icardyou,威士忌旅馆,China,辽宁,6/26/2021,6/30/2021 17:51,拾光,https://icardyou.icu/sendpostcard/postcardDetail/1143934,https://icardyou.icu/userInfo/homePage?userId=36748
,CNZJ21794,我们的小食兴,活动,icardyou,笋笋,China,浙江,6/30/2021 8:39,7/3/2021 19:40,暖空 食物,https://icardyou.icu/sendpostcard/postcardDetail/1144371,https://icardyou.icu/userInfo/homePage?userId=39106
,CNGD43797,辉夜大小姐,活动,icardyou,PL,China,广东,6/25/2021 6:06,7/3/2021 19:41,动漫 番剧 四宫辉夜,https://icardyou.icu/sendpostcard/postcardDetail/1143910,https://icardyou.icu/userInfo/homePage?userId=38619
,BR-556603,,MATCH,POSTCROSSING,joaohenrique,Brazil,,22/May/2021,4/Jul/2021,,https://www.postcrossing.com/postcards/BR-556603,https://www.postcrossing.com/user/joaohenrique
,RU-8500597,,MATCH,POSTCROSSING,Maria_Amber,Russia,,23/May/2021,12/Jul/2021,,https://www.postcrossing.com/postcards/RU-8500597,https://www.postcrossing.com/user/Maria_Amber
,ID-358038,,MATCH,POSTCROSSING,Monaryani,Indonesia,,24/May/2021,20/Jul/2021,,https://www.postcrossing.com/postcards/ID-358038,https://www.postcrossing.com/user/Monaryani
,CNHN9166,湖南常德桃花源,活动,icardyou,筑墓,China,湖南,7/3/2021 12:18,7/20/2021 14:08,湖南 景点 常德,https://icardyou.icu/sendpostcard/postcardDetail/1143863,https://icardyou.icu/userInfo/homePage?userId=39219
,CNGD43813,准备好的人会得到一颗糖,活动,icardyou,Jack,China,广东,7/9/2021 21:40,7/20/2021 14:11,文字片 盒片,https://icardyou.icu/sendpostcard/postcardDetail/1144031,https://icardyou.icu/userInfo/homePage?userId=37901
,US-7587351,,MATCH,POSTCROSSING,unclefitch,U.S.A.,,23/May/2021,5/Aug/2021,,https://www.postcrossing.com/postcards/US-7587351,https://www.postcrossing.com/user/unclefitch
,CNGD44557,深圳鹏城美食闲逛日记,赠送,icardyou,Johnson,China,广东,7/30/2021 21:55,8/5/2021 10:28,猫的天空之城 深圳 城市 食物,https://icardyou.icu/sendpostcard/postcardDetail/1149091,https://icardyou.icu/userInfo/homePage?userId=32364
,CH-551760,,MATCH,POSTCROSSING,asega,Switzerland,,24/May/2021,11/Aug/2021,,https://www.postcrossing.com/postcards/CH-551760,https://www.postcrossing.com/user/asega
,CNLN6333,戏精的诞生,活动,icardyou,桥和,China,辽宁,8/9/2021 20:47,8/18/2021 7:22,沐染,https://icardyou.icu/sendpostcard/postcardDetail/1143875,https://icardyou.icu/userInfo/homePage?userId=39140
,CNZJ22206,阿姆斯特丹的猫,活动,icardyou,奇犽,China,浙江,8/13/2021 21:03,8/19/2021 7:35,猫 动物 摄影,https://icardyou.icu/sendpostcard/postcardDetail/1151005,https://icardyou.icu/userInfo/homePage?userId=25888
,DE-10764763,,MATCH,POSTCROSSING,Katzengrund,Germany,,4/Aug/2021,21/Aug/2021,,https://www.postcrossing.com/postcards/DE-10764763,https://www.postcrossing.com/user/Katzengrund
,CNSN1828,内蒙古大学牧羊老人,活动,icardyou,朵朵,China,陕西,8/21/2021 8:07,8/27/2021 21:54,学校 内蒙古大学 雕塑,https://icardyou.icu/sendpostcard/postcardDetail/1151885,https://icardyou.icu/userInfo/homePage?userId=39429
,CNJS15343,The most beautiful quotes,活动,icardyou,Steve,China,江苏,8/23/2021 9:34,8/27/2021 21:58,盒片,https://icardyou.icu/sendpostcard/postcardDetail/1151903,https://icardyou.icu/userInfo/homePage?userId=1910
,CNJS15342,里斯本贝伦塔,活动,icardyou,麦麦,China,江苏,8/23/2021 21:21,8/27/2021 22:05,葡萄牙 里斯本 贝伦塔 景点,https://icardyou.icu/sendpostcard/postcardDetail/1151901,https://icardyou.icu/userInfo/homePage?userId=13995
,US-7766084,,MATCH,POSTCROSSING,giggleshanks,U.S.A.,,5/Aug/2021,29/Aug/2021,,https://www.postcrossing.com/postcards/US-7766084,https://www.postcrossing.com/user/giggleshanks
